Product,Price (EGP),Rating,Link
"Galaxy A05s, Android Smartphone, Dual SIM Mobile Phone, LTE, 6GB RAM, 128GB Storage, Silver, 1 Year Warranty/Local Version",N/A,,N/A
"Galaxy A26 5G, Android Smartphone, 256GB Storage, 8GB RAM, Black, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version",13665.86,,N/A
"Galaxy S25 Ultra AI Phone, 256GB Storage, 12GB RAM, Titanium Black, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version",58950.00,,N/A
"Galaxy A06 Dual Sim 6GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Gold- 1 Year Warranty/Local Version",5825.00,,N/A
"Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Black 1 Year Warranty/Local Version",13999.00,,N/A
"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Black (1 Year Local Warranty)",N/A,,N/A
"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Black (1 Year Local Warranty)",7049.99,,N/A
"Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Black 1 Year Warranty/Local Version",15899.00,,N/A
"Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, Black, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version",11715.00,,N/A
"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Navy -1 Year Warranty/Local Version, Tax Paid",19899.00,,N/A
"Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Lavender, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",17485.00,,N/A
"Galaxy A56 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Lightgray, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version",19896.00,,N/A
"Galaxy A36 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Black, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",16249.05,,N/A
"Galaxy A56 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Pink, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version",22899.00,,N/A
"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Green (1 Year Local Warranty)",7888.00,,N/A
"Galaxy A06 Dual Sim 4GB RAM 128GB Storage Android Smartphone, 6.7-Inch Screen Size, Light Blue- 1 Year Warranty/Local Version",5880.00,,N/A
"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Iceblue -1 Year Warranty/Local Version, Tax Paid",19999.00,,N/A
"Galaxy A56 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Graphite, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version",23544.00,,N/A
"Galaxy Z Fold6, AI Phone, 12GB RAM, 512GB Storage, Navy, Android Smartphone, 50MP Camera, Big Screen, Multi-tasking, S Pen, Long Battery Life, UAE Version",87950.00,,N/A
"Galaxy S25 Ultra AI Phone, 256GB Storage, 12GB RAM, Titanium Gray, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version",58750.00,,N/A
"Galaxy A26 5G, Android Smartphone, 256GB Storage, 8GB RAM, Peach Pink, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version",13550.00,,N/A
"Galaxy A06 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Gold- 1 Year Warranty/Local Version",5535.00,,N/A
"Galaxy Watch7 Classic Smartwatch, Green, 40mm, Bluetooth Sleep Coaching, Fitness Tracker, 1 Year Warranty/Local Version",7990.00,,N/A
"Galaxy S25 Ultra AI Phone, 256GB Storage, 12GB RAM, Titanium Silverblue, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version",58950.00,,N/A
"Galaxy M55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Light Green 1 Year Warranty/Local Version",15899.00,,N/A
65 Inch 4K UHD Smart LED TV - Black - UA65DU7000UXEG [2024 Model],24299.00,,N/A
WW70T4020CX1AS Digital Inverter Front Loading Washing Machine - 7Kg - Inox- (local warranty),17990.00,,N/A
"Galaxy S24 Ultra, AI Phone, 256GB Storage, Titanium Black, 12GB RAM, Android Smartphone, 200MP Camera, S Pen, Long Battery Life",50750.00,,N/A
"Galaxy Buds3, Silver, Wireless Bluetooth Earbuds with Adaptive EQ/ANC, Hi-Fi Sound, 360 Audio, 1 Year Local Warranty",4550.00,,N/A
43 Inch Full HD Smart LED TV with Built-in Receiver - Black - UA43T5300AUXEG,12799.00,,N/A
"Galaxy S25 Ultra AI Phone, 512GB Storage, 12GB RAM, Titanium Black, Android Smartphone, 200MP Camera, S Pen, Long Battery Life 1 Year Warranty/Local Version",69750.00,,N/A
"Galaxy Watch Ultra Smartwatch, Titanium White, 47mm, LTE, Health Monitoring, Fitness Tracker, UAE Version",16950.00,,N/A
"Galaxy Tab S10 Ultra,14.6 Inch AI Android Tablet, 5G, 12GB RAM, 256GB Storage, AMOLED Display, Anti-reflection, Durable, S Pen Included, Platinum Silver 1 Year Warranty/Local Version",60950.00,,N/A
Samsung Fit 2 Pro Smart Watch Case Silver,199.00,N/A,N/A
SAMSUNG 65w Power Adapter Trio,1999.00,,N/A
"Galaxy Buds FE, Wireless, with Charging Case, ANC and Sound Customization, Graphite, SM-R400NZAAMEA Headphones Headset Wireless Earbuds-1 Year Local Warranty",3111.00,,N/A
"Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome White, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",10000000.00,,N/A
"27-Inch G55C Odyssey QHD 2K Curved Gaming Monitor, HRDR 10, VA Panel, 1ms MPRT, 165hz with Game Mode, Supports AMD FreeSync, HDMI and DisplayPort, 3 Years Local Warranty",9498.00,,N/A
"Galaxy A26 5G, Android Smartphone, 128GB Storage, 6GB RAM, White, 50MP Camera, Large Display, Long Battery Life 1 Year Warranty/Local Version",12520.00,,N/A
"Galaxy Tab A9 4G LTE, 8.7 Inch Android Tablet, 8GB RAM, 128GB Storage, 8MP Rear Camera, Navy-1 Year Warranty/Local Version",8700.00,,N/A
"Galaxy A56 5G, Android Smartphone, 128GB Storage, 8GB RAM, Awesome Olive, 6x OS Upgrades, Large Display, Long Battery Life 1 Year Warranty/Local Version",21150.00,,N/A
"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 256GB Storage, Awesome Navy - 1 Year Warranty/Local Version, Tax Paid",N/A,,N/A
"Microwave oven 40 L, Tact & Dial, LED Display, Black (local warranty)",9499.00,,N/A
55 Inch QLED Smart TV Neural HDR Quantum Processor Lite 4K - QA55QE1DAUXEG [2024 Model],20999.00,,N/A
"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage, Light Green- 1 Year Warranty/Local Version",6227.46,,N/A
"Galaxy A16 LTE, Android Smartphone, Dual SIM Mobile Phone, 6GB RAM, 128GB Storage, Light Green (1 Year Local Warranty)",N/A,,N/A
"Galaxy A36 5G, Android Smartphone, 256GB Storage, 8GB RAM, Awesome Lime, 6x OS Upgrades, Large Display, Octa-Core Processor 1 Year Warranty/Local Version",18999.00,,N/A
"Galaxy A05 LTE, Android Smartphone, Dual SIM Mobile Phone, 4GB RAM, 128GB Storage,Silver- 1 Year Warranty/Local Version",6689.00,,N/A
"Galaxy A55 5G, Android Smartphone, Dual SIM Mobile Phone, 8GB RAM, 128GB Storage, Awesome Lemon -1 Year Warranty/Local Version, Tax Paid",19999.00,,N/A
WW90T534DAN1AS Digital Inverter Front Loading Washing Machine With Wi-Fi - 9Kg - Inox- (local warranty),21452.27,,N/A
"Galaxy Tab A9 4G LTE, 8.7 Inch Android Tablet, 8GB RAM, 128GB Storage, 8MP Rear Camera, Graphite-1 Year Warranty/Local Version",8700.00,,N/A
"Dual Port Fast Car Charger 15W, 2PORT + Cable",425.00,,N/A
55 Inch 4K UHD Smart LED TV with Built-in Receiver - UA55DUE800UXEG,19799.00,,N/A
"Galaxy S23 FE 5G Dual SIM Android Smartphone, 8GB RAM, 256GB ROM - Graphite - 1 Year Warranty/Local Version",30999.00,,N/A
"Galaxy Buds3 Pro, Silver, Wireless Bluetooth In-Ear Headphones, Adaptive Noise Control, Hi-Fi Sound, 360 Audio (Samsung Turkey Guaranteed)",6250.00,,N/A
43 Inch TV Crystal Processor 4K LED - Titan Gray - UA43DU8000UXEG [2024 Model],100000.00,,N/A
